"","ApplicationDate","ApplicationNo","LoanType","Amount","Tenor","CustomerNo","CustomerName","ApplicationStatus"
"1",2024-01-02,"110223","PersonalLoan","40,000",36,"416564","Shafeeqa, el-Habibi","Drawdown"
"2",2024-01-02,"110575","CarLoan","70,000",36,"375755","Nathan, Lopez","Drawdown"
"3",2024-01-02,"110874","CarLoan","60,000",60,"507040","Tristan, Terry","Drawdown"
"4",2024-01-02,"110934","CarLoan","40,000",36,"349871","Sidney, Bentley","Drawdown"
"5",2024-01-03,"111023","CarLoan","80,000",36,"337801","Timothy, Mitchell","Drawdown"
"6",2024-01-03,"111154","PersonalLoan","40,000",36,"457998","Marshall, Mcveigh","Processing"
"7",2024-01-03,"111384","CarLoan","50,000",48,"363802","Peyton, Jones","Drawdown"
"8",2024-01-03,"111681","CarLoan","40,000",48,"452107","Janiva, Williams",NA
"9",2024-01-03,"111760","CarLoan","40,000",60,"414897","Tabeion, Conover","Drawdown"
"10",2024-01-03,"111988","CarLoan","70,000",48,"402875","Maren, Moreno","Drawdown"
"11",2024-01-03,"112352","HomeLoan","500,000",360,"451241","Sundus, el-Kaiser","Drawdown"
"12",2024-01-03,"112434","CarLoan","40,000",36,"545764","Jumail, al-Jafri","Drawdown"
"13",2024-01-03,"112515","PersonalLoan","40,000",36,"383450","Ian, Swalley","Drawdown"
"14",2024-01-03,"112588","HomeLoan","500,000",360,"462456","Brandin, Harris","Processing"
"15",2024-01-03,"112600","CarLoan","70,000",48,"414560","Khulood, al-Moussa","Drawdown"
"16",2024-01-03,"112855","CarLoan","50,000",48,"503497","Tyran, Okbamicael","Drawdown"
"17",2024-01-04,"113142","PersonalLoan","40,000",36,"486758","Sierra, Suchomel","Drawdown"
"18",2024-01-04,"113381","PersonalLoan","40,000",36,"359371","Kira, Choat","Drawdown"
"19",2024-01-04,"113640","CarLoan","40,000",36,"413835","Kari, Campilan","Drawdown"
"20",2024-01-04,"113740","PersonalLoan","40,000",36,"362079","Heejae, Lee","Drawdown"
"21",2024-01-04,"114058","PersonalLoan","40,000",36,"342577","Angelic, Eckley","Drawdown"
"22",2024-01-04,"114068","HomeLoan","300,000",240,"348232","Eleanor, Saraogi","Drawdown"
"23",2024-01-04,"114163","CarLoan","80,000",36,"357957","Kaylene, Yong",NA
"24",2024-01-05,"114213","CarLoan","50,000",60,"437440","Paulina, Ilgenfritz","Drawdown"
"25",2024-01-05,"114532","CarLoan","70,000",48,"514472","Asianae, Feiner-Jackson","Drawdown"
"26",2024-01-05,"115304","CarLoan","60,000",60,"377109","Luwai, el-Noorani",NA
"27",2024-01-05,"115323","CarLoan","70,000",48,"545432","Zachary, Suriwong","Drawdown"
"28",2024-01-05,"115771","PersonalLoan","40,000",36,"474076","Javonte, Keys","Drawdown"
"29",2024-01-08,"116019","CarLoan","70,000",36,"376433","Duane, Freel",NA
"30",2024-01-08,"116054","CarLoan","70,000",48,"397888","William, Hoskins",NA
"31",2024-01-08,"117339","CarLoan","80,000",60,"475515","Khaleela, el-Malak","Drawdown"
"32",2024-01-08,"117786","PersonalLoan","40,000",36,"346079","Naasiruddeen, el-Jamail","Drawdown"
"33",2024-01-09,"117801","HomeLoan","400,000",120,"396690","Baylee, Hammond","Cancel"
"34",2024-01-09,"117846","CarLoan","60,000",60,"361648","Munguntsetseg, Fei","Processing"
"35",2024-01-09,"117962","HomeLoan","600,000",360,"481250","Toshia, Pernell","Drawdown"
"36",2024-01-10,"118242","HomeLoan","500,000",360,"451816","Tylar, Romme","Drawdown"
"37",2024-01-10,"118495","HomeLoan","500,000",120,"389580","Tyler, Rossman","Processing"
"38",2024-01-10,"119280","PersonalLoan","40,000",36,"463660","Neha, Khliu","Drawdown"
"39",2024-01-11,"119330","HomeLoan","500,000",360,"538618","Andrew, Kaszubowski","Cancel"
"40",2024-01-11,"119368","HomeLoan","300,000",240,"432927","Judith, Malouff","Drawdown"
"41",2024-01-12,"119507","CarLoan","60,000",48,"364759","Alisha, Jensen","Drawdown"
"42",2024-01-12,"119772","HomeLoan","500,000",240,"384035","Melinda, Park","Processing"
"43",2024-01-12,"120964","HomeLoan","400,000",120,"530821","Jabril, Kinlicheene","Processing"
"44",2024-01-12,"121009","HomeLoan","500,000",360,"513697","Casey, Toney","Drawdown"
"45",2024-01-12,"121023","CarLoan","80,000",48,"501681","Steven, Dominguez","Processing"
"46",2024-01-12,"121498","CarLoan","70,000",36,"466843","Kabeera, el-Doud","Drawdown"
"47",2024-01-12,"121783","PersonalLoan","40,000",36,"389201","Melinda, Vigil","Processing"
"48",2024-01-12,"121888","PersonalLoan","40,000",36,"341023","Kulthum, el-Akbari","Processing"
"49",2024-01-15,"122010","PersonalLoan","40,000",36,"347085","Haley, Hughes","Drawdown"
"50",2024-01-15,"122377","PersonalLoan","40,000",36,"399699","Lance, Laping","Drawdown"
"51",2024-01-16,"122515","CarLoan","50,000",48,"469034","Janet, Okazaki","Drawdown"
"52",2024-01-16,"122577","PersonalLoan","40,000",36,"331023","John, Young","Drawdown"
"53",2024-01-16,"122748","PersonalLoan","40,000",36,"514303","Joshua, Yang","Processing"
"54",2024-01-16,"123004","HomeLoan","600,000",120,"526300","Desiree, Harris","Drawdown"
"55",2024-01-16,"124443","CarLoan","70,000",36,"527542","Nihal, Knight","Drawdown"
"56",2024-01-16,"124624","PersonalLoan","40,000",36,"490378","Travis, Edler","Drawdown"
"57",2024-01-16,"126079","PersonalLoan","40,000",36,"374535","Jared, Bancroft","Drawdown"
"58",2024-01-16,"127085","HomeLoan","600,000",120,"532662","Veronica, Alferos","Processing"
"59",2024-01-16,"127089","PersonalLoan","40,000",36,"434893","Eduardo, White Bear","Cancel"
"60",2024-01-16,"127894","PersonalLoan","40,000",36,"352954","Jesse, Roy","Drawdown"
