"","ApplicationDate","ApplicationNo","LoanType","Amount","Tenor","CustomerNo","CustomerName","ApplicationStatus","BranchCode","CustomerType","Salary","NetAssets","Occupation"
"1",2024-01-02,"110223","PersonalLoan","40,000","36","416564","Shafeeqa, el-Habibi","Drawdown","7631","Premier Banking",7200,28796.6046472042,"Manager"
"2",2024-01-02,"110575","CarLoan","70,000","36","375755","Nathan, Lopez","Drawdown","7629","General Banking",16400,65598.6785194718,"Officer"
"3",2024-01-02,"110874","CarLoan","60,000","60","507040","Tristan, Terry","Drawdown","7628","Premier Banking",10600,42398.9907995371,"Supervisor"
"4",2024-01-02,"110934","CarLoan","40,000","36","349871","Sidney, Bentley","Drawdown","7628","Premier Banking",8500,33997.458852875,"Manager"
"5",2024-01-03,"111023","CarLoan","80,000","36","337801","Timothy, Mitchell","Drawdown","7629","General Banking",11300,45199.5619176856,"Manager"
"6",2024-01-03,"111154","PersonalLoan","40,000","36","457998","Marshall, Mcveigh","Processing","7628","Premier Banking",18300,73195.7083520059,"Manager"
"7",2024-01-03,"111384","CarLoan","50,000","48","363802","Peyton, Jones","Drawdown","7629","General Banking",8400,33597.6701984457,"Supervisor"
"8",2024-01-03,"111681","CarLoan","40,000","48","452107","Janiva, Williams","NoResponse","7629","General Banking",8700,34794.2000621815,"Manager"
"9",2024-01-03,"111760","CarLoan","40,000","60","414897","Tabeion, Conover","Drawdown","7631","Premier Banking",12500,50000.9391378657,"Manager"
"10",2024-01-03,"111988","CarLoan","70,000","48","402875","Maren, Moreno","Drawdown","7627","General Banking",15900,63601.4059563033,"Supervisor"
"11",2024-01-03,"112352","HomeLoan","500,000","360","451241","Sundus, el-Kaiser","Drawdown","7630","Premier Banking",6300,25199.5846797907,"Worker"
"12",2024-01-03,"112434","CarLoan","40,000","36","545764","Jumail, al-Jafri","Drawdown","7630","Premier Banking",8900,35603.5396473977,"Supervisor"
"13",2024-01-03,"112515","PersonalLoan","40,000","36","383450","Ian, Swalley","Drawdown","7628","Premier Banking",8700,34797.6723510778,"Supervisor"
"14",2024-01-03,"112588","HomeLoan","500,000","360","462456","Brandin, Harris","Processing","7629","General Banking",17400,69599.6789825984,"Manager"
"15",2024-01-03,"112600","CarLoan","70,000","48","414560","Khulood, al-Moussa","Drawdown","7629","General Banking",14214.0350877193,22005.0090114196,"Supervisor"
"16",2024-01-03,"112855","CarLoan","50,000","48","503497","Tyran, Okbamicael","Drawdown","7631","Premier Banking",8400,33599.225331563,"Worker"
