"","BranchCode","CustomerNo","CustomerName","CustomerType","Salary","NetAssets","Occupation","ApplicationNo"
"1","7631","416564","Shafeeqa, el-Habibi","Premier Banking",7200,28796.6046472042,"Manager","110223"
"2","7629","375755","Nathan, Lopez","General Banking",16400,65598.6785194718,"Officer","110575"
"3","7628","507040","Tristan, Terry","Premier Banking",10600,42398.9907995371,"Supervisor","110874"
"4","7628","349871","Sidney, Bentley","Premier Banking",8500,33997.458852875,"Manager","110934"
"5","7629","337801","Timothy, Mitchell","General Banking",11300,45199.5619176856,"Manager","111023"
"6","7628","457998","Marshall, Mcveigh","Premier Banking",18300,73195.7083520059,"Manager","111154"
"7","7629","363802","Peyton, Jones","General Banking",8400,33597.6701984457,"Supervisor","111384"
"8","7629","452107","Janiva, Williams","General Banking",8700,34794.2000621815,"Manager","111681"
"9","7631","414897","Tabeion, Conover","Premier Banking",12500,50000.9391378657,"Manager","111760"
"10","7627","402875","Maren, Moreno","General Banking",15900,63601.4059563033,"Supervisor","111988"
"11","7630","451241","Sundus, el-Kaiser","Premier Banking",6300,25199.5846797907,"Worker","112352"
"12","7630","545764","Jumail, al-Jafri","Premier Banking",8900,35603.5396473977,"Supervisor","112434"
"13","7628","383450","Ian, Swalley","Premier Banking",8700,34797.6723510778,"Supervisor","112515"
"14","7629","462456","Brandin, Harris","General Banking",17400,69599.6789825984,"Manager","112588"
"15","7629","414560","Khulood, al-Moussa","General Banking",NA,22005.0090114196,"Supervisor","112600"
"16","7631","503497","Tyran, Okbamicael","Premier Banking",8400,33599.225331563,"Worker","112855"
"17","7627","486758","Sierra, Suchomel","General Banking",15600,62405.9235685251,"Supervisor","113142"
"18","7631","359371","Kira, Choat","Premier Banking",16200,64798.3160964045,"Supervisor","113381"
"19","7627","413835","Kari, Campilan","General Banking",16600,66402.8721012096,"Officer","113640"
"20","7627","362079","Heejae, Lee","General Banking",7800,31204.3352577756,"Supervisor","113740"
"21","7627","342577","Angelic, Eckley","General Banking",12600,50401.0183408184,"Manager","114058"
"22","7627","348232","Eleanor, Saraogi","General Banking",14100,56402.6428564894,"Officer","114068"
"23","7628","357957","Kaylene, Yong","Premier Banking",20000,80002.7106122728,"Supervisor","114163"
"24","7631","437440","Paulina, Ilgenfritz","Premier Banking",15700,62802.2497840304,"Supervisor","114213"
"25","7631","514472","Asianae, Feiner-Jackson","Premier Banking",8700,34801.0771289127,"Manager","114532"
"26","7627","377109","Luwai, el-Noorani","General Banking",12000,48000.7576850763,"Director","115304"
"27","7628","545432","Zachary, Suriwong","Premier Banking",12800,51201.7317390233,"Manager","115323"
"28","7631","474076","Javonte, Keys","Premier Banking",12000,48001.2550503313,"Manager","115771"
"29","7627","376433","Duane, Freel","General Banking",21200,84798.0167751402,"Manager","116019"
"30","7627","397888","William, Hoskins","General Banking",19000,76008.2386995049,"Manager","116054"
"31","7629","475515","Khaleela, el-Malak","General Banking",11800,47205.3030652982,"Manager","117339"
"32","7627","346079","Naasiruddeen, el-Jamail","General Banking",8000,32002.8311481598,"Worker","117786"
"33","7627","396690","Baylee, Hammond","General Banking",21600,86397.6427595209,"Manager","117801"
"34","7630","361648","Munguntsetseg, Fei","Premier Banking",18800,75195.7661994453,"Officer","117846"
"35","7628","481250","Toshia, Pernell","Premier Banking",9900,39598.9232438175,"Manager","117962"
"36","7628","451816","Tylar, Romme","Premier Banking",12900,51601.4877378715,"Manager","118242"
"37","7627","389580","Tyler, Rossman","General Banking",19100,76397.423859509,"Worker","118495"
"38","7630","463660","Neha, Khliu","Premier Banking",13100,52401.5373474822,"Officer","119280"
"39","7627","538618","Andrew, Kaszubowski","General Banking",20700,82794.7507312299,"Officer","119330"
"40","7628","432927","Judith, Malouff","Premier Banking",14000,55997.781321805,"Manager","119368"
"41","7631","364759","Alisha, Jensen","Premier Banking",15800,63205.5079539007,"Manager","119507"
"42","7630","384035","Melinda, Park","Premier Banking",20200,80801.7908151096,"Manager","119772"
"43","7628","530821","Jabril, Kinlicheene","Premier Banking",18800,75199.6735353092,"Officer","120964"
"44","7629","513697","Casey, Toney","General Banking",9500,38001.55015703,"Manager","121009"
"45","7631","501681","Steven, Dominguez","Premier Banking",18900,75603.2596824174,"Manager","121023"
"46","7629","466843","Kabeera, el-Doud","General Banking",10200,40800.9949464316,"Manager","121498"
"47","7629","389201","Melinda, Vigil","General Banking",18100,72405.5588874306,"Supervisor","121783"
"48","7627","341023","Kulthum, el-Akbari","General Banking",20300,81196.637538299,"Supervisor","121888"
"49","7628","347085","Haley, Hughes","Premier Banking",15900,63600.7551798619,"Supervisor","122010"
"50","7628","399699","Lance, Laping","Premier Banking",9900,39598.0127359322,"Manager","122377"
"51","7627","469034","Janet, Okazaki","General Banking",15200,60797.3096976402,"Supervisor","122515"
"52","7628","331023","John, Young","Premier Banking",NA,22403.6355787008,"Officer","122577"
"53","7629","514303","Joshua, Yang","General Banking",17200,68800.0588962003,"Director","122748"
"54","7629","526300","Desiree, Harris","General Banking",15900,63606.6915529615,"Worker","123004"
"55","7631","527542","Nihal, Knight","Premier Banking",16300,65201.5241264861,"Manager","124443"
"56","7628","490378","Travis, Edler","Premier Banking",NA,22802.1250170726,"Manager","124624"
"57","7627","374535","Jared, Bancroft","General Banking",9300,37200.2702400977,"Manager","126079"
"58","7627","532662","Veronica, Alferos","General Banking",20000,80000.4146717988,"Officer","127085"
"59","7629","434893","Eduardo, White Bear","General Banking",21900,87601.3956907297,"Manager","127089"
"60","7627","352954","Jesse, Roy","General Banking",14900,59599.6780899219,"Manager","127894"
"61","7627","425946","Asher Erwin, Dolkar","General Banking",21300,85203.0613615086,"Officer","128232"
"62","7629","395172","Elisa, Olson","General Banking",19400,77602.7566371546,"Manager","128299"
"63","7629","478161","Ashleigh, Worley","General Banking",19100,76400.2514429219,"Supervisor","128747"
"64","7628","490089","Reginald, Chapman","Premier Banking",8000,31994.5475216414,"Officer","128824"
"65","7629","407424","Richard, Smith","General Banking",8700,34800.2255522218,"Supervisor","129024"
"66","7631","489725","Scottie, Andres","Premier Banking",8000,31999.3161722803,"Officer","129156"
"67","7631","396410","Nashat, el-Moghaddam","Premier Banking",6300,25200.6846110686,"Supervisor","129361"
"68","7628","472036","Destinee, Lindsay","Premier Banking",19900,79597.0671429756,"Manager","129506"
"69","7629","445829","Alexandria, Rodriguez-Sierra","General Banking",11100,44398.708653957,"Manager","129871"
"70","7627","341009","Dustyn, Barton","General Banking",8500,34002.7196429922,"Manager","130178"
"71","7628","513404","Emmanuel, Nunez","Premier Banking",16700,66800.7121333387,"Supervisor","130281"
"72","7627","370761","Cullen, Hemberger","General Banking",7300,29197.9451613523,"Manager","131028"
"73","7628","355435","Hannah, Cerna","Premier Banking",8300,33200.0857371044,"Manager","132954"
"74","7629","376753","Dayton, Long","General Banking",14900,59599.7281946291,"Supervisor","133126"
"75","7629","383366","Jorge, Liebanos-Espinoza","General Banking",16800,67199.7015733604,"Manager","133905"
"76","7628","527183","Stephanie, Frias","Premier Banking",15900,63598.2216746084,"Officer","134791"
"77","7627","433503","Chelsea, Gresham","General Banking",NA,22796.735793676,"Supervisor","134841"
"78","7627","521912","Amir, Johnson","General Banking",7700,30792.9247692878,"Manager","135024"
"79","7628","444324","Hunter, Yeatts","Premier Banking",8900,35593.9831433662,"Officer","135106"
"80","7627","460689","Christina, Catlett","General Banking",8000,31999.7153730091,"Supervisor","135435"
"81","7627","378713","Miguel, Herrington","General Banking",21400,85599.7398419444,"Manager","135686"
"82","7627","338242","Nisma, el-Suleiman","General Banking",14000,56002.8792626331,"Worker","135890"
"83","7629","331760","Sophia, Human","General Banking",17300,69199.1342863015,"Director","135905"
"84","7627","400840","Kyle, Smith","General Banking",16500,65999.5097943255,"Manager","136647"
"85","7628","332855","Evans, Johnson","Premier Banking",12800,51193.7039375281,"Manager","136726"
"86","7629","492567","Ryan, Wicks","General Banking",15700,62803.3938179887,"Manager","137131"
"87","7630","331988","Christian, Keeton","Premier Banking",16900,67603.9693345827,"Director","137603"
"88","7629","468918","Lucas, Montoya","General Banking",8900,35600.4031624817,"Manager","137957"
"89","7627","332434","Ashlee, Griffin","General Banking",19600,78401.7444681864,"Supervisor","138653"
"90","7631","422183","Maajid, el-Mohamed","Premier Banking",14800,59198.4061129237,"Worker","139017"
"91","7628","536115","Jeremy, Cummings","General Banking",15700,62797.0448269871,"Supervisor","139098"
"92","7630","497575","Afeef, al-Kaiser","Premier Banking",7300,29201.8017704523,"Manager","139306"
"93","7628","493620","David, Trujillo","Premier Banking",21500,86005.00316662,"Supervisor","139371"
"94","7627","386624","Lawrence, Punay","General Banking",14200,56796.9932947019,"Supervisor","139556"
"95","7628","458420","Skye, Slovonsky","Premier Banking",7200,28800.6318786092,"Manager","140236"
"96","7627","361431","Nevin, Guerrero","General Banking",15500,61998.3746731954,"Supervisor","140410"
"97","7628","407319","Mikayla, Herde","Premier Banking",15200,60803.0441123488,"Manager","140473"
"98","7629","479819","Daniel, Vargas","General Banking",NA,24001.3589302169,"Supervisor","141431"
"99","7630","391004","Nikoma, Jacquez","Premier Banking",9300,37199.3812608108,"Supervisor","141495"
"100","7628","404816","Charisha, Bancroft","General Banking",8100,32403.6595807872,"Manager","141648"
"101","7627","456923","Priscilla, Guerra","General Banking",8100,32397.0564420377,"Manager","142079"
"102","7628","398136","Alma, Salle II","Premier Banking",19100,76399.8965503638,"Worker","142548"
"103","7627","422262","Aaron, Jones","General Banking",20100,80397.2252458896,"Supervisor","143212"
"104","7629","470440","Jada, Hamm","General Banking",12800,51199.8756626224,"Supervisor","143331"
"105","7627","382043","Eric, Vallejos","General Banking",13600,54398.9936532269,"Officer","143802"
"106","7631","404866","Michelle, James","Premier Banking",21600,86396.1063430418,"Officer","144666"
"107","7627","494403","Ambrosia, Garcia","General Banking",21800,87207.3317074905,"Supervisor","144759"
"108","7627","357131","Cheyenne, Martinez","General Banking",9800,39199.6108093711,"Supervisor","145019"
"109","7627","349506","Cedric, Holley-Bergin","General Banking",16800,67202.2017482613,"Director","145234"
"110","7631","330223","Wednesday, Dunston","Premier Banking",NA,20798.4948379326,"Supervisor","146503"
"111","7627","399604","Jaadallah, al-Hashem","General Banking",17900,71597.3450912242,"Manager","147002"
"112","7628","377278","Emily, Mcarthur","Premier Banking",19800,79192.9863517549,"Director","147100"
"113","7631","368168","Coyote-Cache, Oetken","Premier Banking",14100,56398.5401481981,"Manager","147391"
"114","7627","342748","Melissa, Quenzer","General Banking",14600,58403.8294599012,"Manager","147965"
"115","7629","525827","Nathaniel, Acosta","General Banking",14400,57604.5624159318,"Manager","147967"
"116","7630","400859","Cheyenne, Ortega","Premier Banking",15100,60399.4311504895,"Director","148168"
"117","7631","530348","Ryan, Fullerton","Premier Banking",16500,65998.6056756853,"Supervisor","148521"
"118","7627","491545","Miah, Mata","General Banking",16200,64802.507974237,"Manager","149357"
"119","7629","468858","Remy, Kim","General Banking",12800,51195.8326247241,"Worker","149400"
"120","7627","525828","Gabrielle, Esquivel","General Banking",18600,74394.9619526295,"Manager","149522"
